filtered-0-temperature,filtered-0-rainfall,filtered-0-humidity,filtered-0-crime_overall,filtered-0-oil_price,filtered-0-exchange_taiwan,filtered-0-exchange_usa,unfiltered-month=1,unfiltered-month=2,unfiltered-month=6,unfiltered-month=8,unfiltered-month=9,unfiltered-day_of_week=Saturday,unfiltered-day_of_week=Monday,unfiltered-day_of_week=Tuesday,unfiltered-day_of_week=Wednesday,unfiltered-Holiday_China=Z,unfiltered-Holiday_China=C,unfiltered-Holiday_China=D,unfiltered-Holiday_China=E,unfiltered-Holiday_China=G,unfiltered-Holiday_China=B,unfiltered-Holiday_Taiwan=Z,unfiltered-Holiday_Taiwan=B,unfiltered-Holiday_Macau=C,unfiltered-Holiday_Macau=D,unfiltered-Holiday_Macau=H,unfiltered-Holiday_SouthKorea=R,unfiltered-max_signal=0,unfiltered-typhoon_present_binarized,unfiltered-typhoon_high_signal_binarized,y,predicted_y,difference,percentage_diff
-1.359709,-0.260384,-0.278619,0.223592,-0.160583,-1.250215,-1.70608,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,135643,165857.10276157016,-30214.10276157016,-22.274723178910936
-1.095466,-0.262314,-0.635025,0.223592,-0.222759,-1.357617,-1.301075,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,113053,125688.73415202842,-12635.734152028424,-11.176823394362312
-1.156445,-0.262314,-3.040763,0.223592,-0.085902,-1.418989,-1.377264,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,121245,126400.31042741978,-5155.310427419783,-4.251977753655642
-1.400362,-0.260384,-0.902329,0.223592,-0.160583,-1.403646,-1.244936,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,153987,169715.85116439857,-15728.85116439857,-10.214401971853839
-1.156445,-0.260384,-1.258735,0.223592,-0.160583,-1.403646,-1.064488,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,133232,136394.98462288443,-3162.9846228844253,-2.3740427396454495
-1.278404,-0.262314,-2.149749,0.223592,-0.039704,-1.234872,-1.373254,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,122785,129059.1640998209,-6274.164099820904,-5.109878323753637
-1.461341,-0.262314,-0.99143,0.223592,-0.052557,-1.188842,-1.309095,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,115917,126311.80054296927,-10394.800542969271,-8.967451316864024
-1.359709,-0.262314,-0.813227,0.223592,-0.023032,-1.388303,-1.196816,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,116712,125344.96653930133,-8632.966539301327,-7.396811415536815
-1.380036,-0.262314,-0.902329,0.223592,-0.087292,-1.342274,-1.060478,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,120342,131862.76704919015,-11520.767049190152,-9.573355145493801
-1.908522,-0.262314,-2.773459,0.223592,0.201011,-1.557078,-1.108597,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,134530,138136.12495205528,-3606.124952055281,-2.680535904300365
-2.132112,-0.262314,-2.951662,0.223592,-0.160583,-1.557078,-0.956219,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,183144,184244.00327658857,-1100.0032765885699,-0.6006220660183079
-2.03048,-0.262314,-3.129865,0.223592,-0.160583,-1.557078,-0.819881,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,161425,154448.14487068646,6976.855129313539,4.322041275709177
-1.684931,-0.262314,-1.882445,0.223592,0.494524,-1.541735,-0.944189,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,134545,146626.2842288316,-12081.284228831588,-8.979363208466749
-1.278404,-0.262314,-1.704242,0.223592,0.550795,-1.403646,-0.90409,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,128094,140784.6335269779,-12690.633526977908,-9.90728178289218
-1.01416,-0.260384,-2.417053,0.223592,0.660558,-1.357617,-0.972259,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,137511,142789.96651203858,-5278.966512038576,-3.8389412570911245
